Port_of_Origin,Period_kg,Prior_kg,YoY_Pct_kg,Share_kg,Period_teu,Prior_teu,YoY_Pct_teu,Share_teu,Period_shipment,Prior_shipment,YoY_Pct_shipment,Share_shipment,Period_container,Prior_container,YoY_Pct_container,Share_container,Period_vrac,Prior_vrac,YoY_Pct_vrac,Share_vrac,country
BUSAN,5055055.47,6177633.19,-18.17164738458679,0.12354470896007105,477.5,582.0,-17.9553264604811,0.47055461389885295,172,194.0,-11.34020618556701,0.3961125696651467,270,315.0,-14.285714285714285,0.45951189625242517,0,3.0,-100.0,0.0,SOUTH KOREA
RIO GRANDE,4937286.51,3501865.28,40.99018994814101,0.1206664553040869,401.5,267.75,49.95331465919701,0.39566005755055383,140,116.0,20.689655172413794,0.32241720786697986,187,131.0,42.74809160305343,0.31825453555260563,0,0.0,0.0,0.0,BRAZIL
SURABAYA,4849728.3,6727960.29,-27.916811470954745,0.1185265473177726,287.0,381.5,-24.770642201834864,0.28282549568370846,64,53.0,20.754716981132077,0.14739072359633365,196,271.0,-27.67527675276753,0.33357159876101977,0,0.0,0.0,0.0,INDONESIA
PARAMARIBO,4214500.0,0.0,0.0,0.10300167406713334,196.0,0.0,0.0,0.1931491190035082,22,0.0,0.0,0.0506655612362397,161,0.0,0.0,0.2740052418394091,0,0.0,0.0,0.0,SURINAME
WILMINGTON - NC,4181167.29,468470.79000000004,792.5139793667819,0.10218702821799483,302.0,36.0,738.8888888888889,0.2976073160156096,87,14.0,521.4285714285714,0.2003592648887661,149,17.0,776.4705882352941,0.25358249089485685,0,0.0,0.0,0.0,USA
SAINT JOHN,3777189.03,2950896.55,28.00140452229679,0.09231386721034797,572.5,511.75,11.871030776746458,0.5641728093342269,275,225.0,22.22222222222222,0.6333195154529961,287,234.0,22.64957264957265,0.48844412675720755,0,0.0,0.0,0.0,CANADA
ALTAMIRA,3746949.6,5743114.92,-34.7575374654004,0.09157482060628203,385.0,465.5,-17.293233082706767,0.3794000551854626,114,105.0,8.571428571428571,0.26253972640596934,216,265.0,-18.49056603773585,0.36760951700194017,2,1.0,100.0,0.01602692523439378,MEXICO
HALIFAX,3728797.52,2663881.17,39.97612063153703,0.09113118681157316,510.5,272.75,87.16773602199817,0.5030746186290355,212,133.0,59.3984962406015,0.4882317719128553,257,148.0,73.64864864864865,0.4373872493958269,0,0.0,0.0,0.0,CANADA
IMBITUBA,3620384.26,5658905.43,-36.02324151227245,0.0884815848965001,284.0,485.75,-41.53371075656202,0.27986913161732824,120,179.0,-32.960893854748605,0.2763576067431256,141,219.0,-35.61643835616438,0.2399673235984887,0,0.0,0.0,0.0,BRAZIL
VALENCIA,3593303.3,3483252.8,3.1594175421318837,0.08781973077018736,241.0,222.75,8.19304152637486,0.2374945799992116,81,65.0,24.615384615384617,0.1865413845516098,166,154.0,7.792207792207792,0.2825147213996392,0,0.0,0.0,0.0,SPAIN
MERSIN,3382856.79,3080095.79,9.829596890556445,0.08267645331578334,225.25,205.0,9.878048780487806,0.22197366865071544,57,51.0,11.76470588235294,0.13126986320298467,173,146.0,18.493150684931507,0.29442799278396137,0,0.0,0.0,0.0,TURKEY
DALIAN,3146465.32,1755976.0,79.18612327275542,0.07689908538478547,185.0,97.25,90.23136246786633,0.18230911742678071,64,39.0,64.1025641025641,0.14739072359633365,148,81.0,82.71604938271605,0.25188059498281085,0,0.0,0.0,0.0,CHINA
SHEKOU,3029567.72,4035384.63,-24.924932868171222,0.07404212762124766,332.5,438.25,-24.13006274957216,0.3276636840238086,123,170.0,-27.647058823529413,0.2832665469117038,176,233.0,-24.463519313304722,0.2995336805200994,0,0.0,0.0,0.0,CHINA
BRIDGETOWN,3005103.0,0.0,0.0,0.07344421396231215,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0023029800561927133,0,0.0,0.0,0.0,1,0.0,0.0,0.00801346261719689,BARBADOS
HO CHI MINH,2992718.55,1470001.17,103.58613388042406,0.07314154007871962,256.0,140.5,82.20640569395017,0.25227640033111276,64,46.0,39.130434782608695,0.14739072359633365,136,76.0,78.94736842105263,0.23145784403825861,0,0.0,0.0,0.0,VIETNAM
PUERTO MOIN,2938121.31,1952384.21,50.48888917207541,0.07180719267821066,362.25,248.25,45.9214501510574,0.35698096101541255,60,50.0,20.0,0.1381788033715628,171,132.0,29.545454545454547,0.2910242009598693,1,1.0,0.0,0.00801346261719689,COSTA RICA
BUENOS AIRES,2598188.62,1220114.02,112.94637856878327,0.06349929467366827,175.25,68.5,155.83941605839416,0.172700934211045,33,21.0,57.14285714285714,0.07599834185435954,104,48.0,116.66666666666667,0.17699717485278602,0,0.0,0.0,0.0,ARGENTINA
CHARLESTON - SC,2567004.13,2959889.43,-13.273647860555393,0.06273715096150081,188.0,241.5,-22.15320910973085,0.18526548149316094,75,74.0,1.3513513513513513,0.17272350421445348,94,109.0,-13.761467889908257,0.15997821573232582,0,0.0,0.0,0.0,USA
GDANSK,2538732.66,2598027.18,-2.282290210682092,0.062046200970199646,180.0,180.5,-0.2770083102493075,0.17738184398281368,72,73.0,-1.36986301369863,0.16581456404587538,93,97.0,-4.123711340206185,0.1582763198202798,0,0.0,0.0,0.0,POLAND
