country_origin,hs_code,hs_description,period_value,ytd_value,prev_year_value,yoy_change_pct,share_of_total,period_value_teu,ytd_value_teu,prev_year_value_teu,yoy_change_pct_teu,share_of_total_teu,period_value_shipment,ytd_value_shipment,prev_year_value_shipment,yoy_change_pct_shipment,share_of_total_shipment,period_value_container,ytd_value_container,prev_year_value_container,yoy_change_pct_container,share_of_total_container,period_value_vrac,ytd_value_vrac,prev_year_value_vrac,yoy_change_pct_vrac,share_of_total_vrac
CHINA,6405,Footwear; other footwear n.e.c. in chapter 64,8874703.0,8874703.0,5113570.59,73.55197985054119,0.21689625479857877,1038.0,1038.0,608.25,70.65351418002466,1.0229019669675588,504,504,286.0,76.22377622377623,1.1607019483211276,513,513,303.0,69.3069306930693,0.8730726028796079,0,0,0.0,0.0,0.0
CHINA,4011,"New pneumatic tyres, of rubber",8590413.64,8590413.64,4516736.46,90.19072102338245,0.20994827045892425,1208.0,1208.0,620.75,94.60330245670559,1.1904292640624383,267,267,161.0,65.83850931677019,0.6148956750034544,605,605,309.0,95.79288025889967,1.0296470267878417,0,0,0.0,0.0,0.0
USA,8702,Vehicles; public transport passenger type,8559486.719999999,8559486.719999999,147541021.06,-94.19857158469905,0.20919242171441352,110.0,110.0,38.0,189.47368421052633,0.10840001576727502,804,804,470.0,71.06382978723404,1.8515959651789415,53,53,19.0,178.94736842105263,0.09020048333843902,751,751,451.0,66.51884700665188,6.018110425514865
INDONESIA,1515,"Fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined; but not chemically modified",8473241.0,8473241.0,7003679.77,20.982701640569164,0.2070845907638559,347.0,347.0,333.75,3.9700374531835205,0.34195277701131305,81,81,58.0,39.6551724137931,0.1865413845516098,337,337,276.0,22.10144927536232,0.5735389223595085,0,0,0.0,0.0,0.0
DOMINICAN REPUBLIC,2501,Salt (including table salt and denatured salt); pure sodium chloride whether or not in aqueous solution; sea water,8306673.6,8306673.6,5541448.8,49.90075519600578,0.2030137114080581,312.0,312.0,319.0,-2.19435736677116,0.3074618629035437,94,94,62.0,51.61290322580645,0.21648012528211505,312,312,221.0,41.1764705882353,0.530991524558358,0,0,0.0,0.0,0.0
BELGIUM,1107,Malt; whether or not roasted,8266332.37,8266332.37,5075748.08,62.8593901768269,0.20202777850405354,670.0,670.0,401.75,66.77037958929682,0.6602546414915842,38,38,22.0,72.72727272727273,0.0875132421353231,318,318,199.0,59.79899497487437,0.5412029000306341,0,0,0.0,0.0,0.0
CHINA,4412,"Plywood, veneered panels and similar laminated wood",7976760.05,7976760.05,2174582.01,266.81808335202777,0.19495067950689998,574.0,574.0,160.75,257.07620528771383,0.5656509913674169,74,74,22.0,236.36363636363637,0.17042052415826078,287,287,77.0,272.72727272727275,0.48844412675720755,0,0,0.0,0.0,0.0
BRAZIL,0203,"Meat of swine; fresh, chilled or frozen",7819873.369999999,7819873.370000001,10008527.72,-21.867895171298994,0.19111639532637212,664.75,664.75,798.0,-16.69799498746867,0.6550810043754188,310,310,383.0,-19.06005221932115,0.7139238174197411,311,311,383.0,-18.798955613577025,0.529289628646312,0,0,0.0,0.0,0.0
FRANCE,6309,Textiles; worn clothing and other worn articles,7717403.0,7717403.0,9012961.0,-14.374388172765865,0.1886120366474592,682.0,682.0,730.0,-6.575342465753424,0.6720800977571051,282,282,327.0,-13.761467889908257,0.6494403758463452,282,282,327.0,-13.761467889908257,0.4799346471969774,0,0,0.0,0.0,0.0
INDIA,3204,Synthetic organic colouring matter and preparations based thereon; synthetic organic products used as fluorescent brightening agents or as luminophores; whether or not chemically defined,7581402.1,7581402.1,13249047.91,-42.77775919069795,0.1852881974317428,321.0,321.0,586.0,-45.22184300341297,0.3163309551026844,39,39,61.0,-36.0655737704918,0.08981622219151582,321,321,562.0,-42.88256227758007,0.5463085877667722,0,0,0.0,0.0,0.0
CHINA,8714,Vehicles; parts and accessories of heading no. 8711 to 8713,7169825.95,7169825.95,4322664.11,65.86590508879488,0.17522934526514994,586.0,586.0,351.0,66.95156695156695,0.5774764476329378,203,203,118.0,72.03389830508475,0.46750495140712084,301,301,182.0,65.38461538461539,0.5122706695258518,0,0,0.0,0.0,0.0
NICARAGUA,1701,"Cane or beet sugar and chemically pure sucrose, in solid form",6865058.8,6865058.800000001,43594611.0,-84.25250588885861,0.16778088716794526,32.0,32.0,135.0,-76.29629629629629,0.031534550041389095,15,15,51.0,-70.58823529411765,0.0345447008428907,32,32,100.0,-68.0,0.05446066918547262,6,6,42.0,-85.71428571428571,0.048080775703181346
CHINA,9619,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies and similar articles, of any material",6696187.65,6696187.65,4883315.0200000005,37.123810824721275,0.16365370454802783,1134.0,1134.0,859.5,31.93717277486911,1.1175056170917261,175,175,137.0,27.73722627737226,0.40302150983372487,566,566,428.0,32.242990654205606,0.9632730862180469,0,0,0.0,0.0,0.0
CHINA,7312,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated",6546887.069999999,6546887.069999999,674972.0,869.9494304948944,0.1600048233808208,235.0,235.0,31.0,658.0645161290323,0.2315818518664512,35,35,11.0,218.1818181818182,0.08060430196674497,234,234,25.0,836.0,0.3982436434187685,0,0,0.0,0.0,0.0
USA,1507,"Soya-bean oil and its fractions; whether or not refined, but not chemically modified",6501649.0,6501649.0,,,0.15889921252744174,0.0,0.0,,,0.0,7,7,,,0.016120860393348993,0,0,,,0.0,7,7,,,0.056094238320378235
